Input,Tag,Topic
yes,yes,none
I do,yes,none
yea I love sports,yes,none
I do like music,yes,none
very much so,yes,none
always!,yes,none
that's right,yes,none
well yes,yes,none
it's my favourite thing,yes,none
Absolutely.,yes,none
Definitely.,yes,none
Of course.,yes,none
Sure.,yes,none
Naturally.,yes,none
I love sports! I'm a big fan of basketball/baseball/football/etc.,yes,none
"I like sports, but only as a way to stay active and healthy.",yes,none
"I enjoy playing sports, but I'm not really a spectator.",yes,none
"I enjoy watching live sports, but not so much on TV.",yes,none
I love music! It's a big part of my life and I enjoy listening to all kinds of genres.,yes,none
I love singing and playing instruments. Music is a huge passion for me.,yes,none
"I enjoy listening to music when I'm working out, driving, or just relaxing at home.",yes,none
I like going to concerts and live music events.,yes,none
"Yes, I love it!",yes,none
"Definitely!",yes,none
"Absolutely!",yes,none
"Oh yes!",yes,none
"Yes, it's one of my favorites.",yes,none
"Yes, I'm a big fan.",yes,none
"Yes, I really enjoy it.",yes,none
"Yes, I always look forward to it.",yes,none
"Yes, it's a passion of mine.",yes,none
"Yes, I can't get enough of it.",yes,none
"Absolutely!",yes,none
"Sounds good to me.",yes,none
"Why not?",yes,none
no,no,none
I do not,no,none
not so much,no,none
not really,no,none
I prefer other things,no,none
nah,no,none
There are other things I'd rater do,no,none
nope!,no,none
I hate it,no,none
Definitely not.,no,none
Absolutely not.,no,none
No way.,no,none
Not a chance.,no,none
Negative.,no,none
I dont like listening to music,no,none
I find sports boring and don't really follow them.,no,none
I'm not really interested in sports.,no,none
I prefer other types of physical activity or hobbies.,no,none
I just don't have the time or energy to keep up with sports.,no,none
I'm not really into music. It's just not my thing.,no,none
I find most music too loud or annoying.,no,none
I prefer other types of entertainment or hobbies.,no,none
I just don't have the time or energy to keep up with music.,no,none
"No, I don't care for it.",no,none
"No, it's not really my thing.",no,none
"I'm not interested.",no,none
"I don't like it.",no,none
"I'm not a fan.",no,none
"No, I don't enjoy it.",no,none
"I can't stand it.",no,none
"No, I hate it.",no,none
"it's not my cup of tea.",no,none
"No, I have no interest in it.",no,none
"that's not my thing",no,none
"Sorry, but no.",no,none
"No thanks.",no,none
"I'm afraid not.",no,none
"Not this time.",no,none
"I'll have to pass.",no,none
"I'm sorry, but no.",no,none
"I don't think so.",no,none
"I'm going to have to say no.",no,none
"I'm afraid I can't do that.",no,none
"I'm sorry, but I'm going to have to decline.",no,none
